# this dataset comes from https://www.baseball-reference.com/leagues/MLB/index.shtml
# it describes the number of games won by each team in a given year
# the column G refers to the number of games in that season
Year,G,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SFG,SEA,STL,TBR,TEX,TOR,WSN
2020,60,25,35,25,24,34,35,31,35,26,23,29,26,26,43,31,29,36,26,33,36,28,19,37,29,27,30,40,22,32,26
2019,162,85,97,54,84,84,72,75,93,71,47,107,59,72,106,57,89,101,86,103,97,81,69,70,77,68,91,96,78,67,93
2018,163,82,90,47,108,95,62,67,91,91,64,103,58,80,92,63,96,78,77,100,97,80,82,66,73,89,88,90,67,73,82
2017,162,93,72,75,93,92,67,68,102,87,64,101,80,80,104,77,86,85,70,91,75,66,75,71,64,78,83,80,78,76,97
2016,162,69,68,89,93,103,78,68,94,75,86,84,81,74,91,79,73,59,87,84,69,71,78,68,87,86,86,68,95,89,95
2015,162,79,67,81,78,97,76,64,81,68,74,86,95,85,92,71,68,83,90,87,68,63,98,74,84,76,100,80,88,93,83
2014,162,64,79,96,71,73,73,76,85,66,90,70,89,98,94,77,82,70,79,84,88,73,88,77,88,87,90,77,67,83,96
2013,163,81,96,85,97,66,63,90,92,74,93,51,86,78,92,62,74,66,74,85,96,73,94,76,76,71,97,92,91,74,86
2012,162,81,94,93,69,61,85,97,68,64,88,55,72,89,86,69,83,66,74,95,94,81,79,76,94,75,88,90,93,73,98
2011,162,94,89,69,90,71,79,79,80,73,95,56,71,86,82,72,96,63,77,97,74,102,72,71,86,67,90,91,96,81,80
2010,162,65,91,66,89,75,88,91,69,83,81,76,67,80,80,80,77,94,79,95,81,97,57,90,92,61,86,96,90,85,69
2009,163,70,86,64,95,83,79,78,65,92,86,74,65,97,95,87,80,87,70,103,75,93,62,75,88,85,91,84,87,75,59
2008,163,82,72,68,95,97,89,74,81,74,74,86,75,100,84,84,90,88,89,89,75,92,67,63,72,61,86,97,79,86,59
2007,163,90,84,69,96,85,72,72,96,90,88,73,69,94,82,71,83,79,88,94,76,89,68,89,71,88,78,66,75,83,73
2006,162,76,79,70,86,66,90,80,78,76,95,82,62,89,88,78,75,96,97,97,93,85,67,88,76,78,83,61,80,87,71
2005,162,77,90,74,95,79,99,73,93,67,71,89,56,95,71,83,81,83,83,95,88,88,67,82,75,69,100,67,79,80,81
2004,162,51,96,78,98,89,83,76,80,68,72,92,58,92,93,83,67,92,71,101,91,86,72,87,91,63,105,70,89,67,67
2003,162,84,101,71,95,88,86,69,68,74,43,87,83,77,85,91,68,90,66,101,96,86,75,64,100,93,85,63,71,86,83
2002,162,98,101,67,93,67,81,78,74,73,55,84,62,99,92,79,56,94,75,103,103,80,72,66,95,93,97,55,72,78,83
2001,162,92,88,63,82,88,83,66,91,73,66,93,65,75,86,76,68,85,82,95,102,86,62,79,90,116,93,62,73,80,68
2000,162,85,95,74,85,65,95,85,90,82,79,72,77,82,86,79,73,69,94,87,91,65,69,76,97,91,95,69,71,83,67
1999,163,100,103,78,94,67,75,96,97,72,69,97,64,70,77,64,74,63,97,98,87,77,78,74,86,79,75,69,95,84,68
1998,163,65,106,79,92,90,80,77,89,77,65,102,72,85,83,54,74,70,88,114,74,75,69,98,89,76,83,63,88,88,65
1997,162,NA,101,98,78,68,80,76,86,83,79,84,67,84,88,92,78,68,88,96,65,68,79,76,90,90,73,NA,77,76,78
1996,162,NA,96,88,85,76,85,81,99,83,53,82,75,70,90,80,80,78,71,92,78,67,73,91,68,85,88,NA,90,74,88
1995,145,NA,90,71,86,73,68,85,100,77,60,76,70,78,78,67,65,56,69,79,67,69,58,70,67,79,62,NA,74,56,66
1994,117,NA,68,63,54,49,67,66,66,53,53,66,64,47,58,51,53,53,55,70,51,54,53,47,55,49,53,NA,52,55,74
1993,162,NA,104,85,80,84,94,73,76,67,85,85,84,71,81,64,69,71,59,88,68,97,75,61,103,82,87,NA,86,95,94
1992,162,NA,98,89,73,78,86,90,76,NA,75,81,72,72,63,NA,92,90,72,76,96,70,96,82,72,64,83,NA,77,96,87
1991,162,NA,94,67,84,77,87,74,57,NA,84,65,82,81,93,NA,83,95,77,71,84,78,98,84,75,83,84,NA,85,91,71
1990,162,NA,65,76,88,77,94,91,77,NA,79,75,75,80,86,NA,74,74,91,67,103,77,95,75,85,77,70,NA,83,86,85
1989,162,NA,63,87,83,93,69,75,73,NA,59,86,92,91,77,NA,81,80,87,74,99,67,74,89,92,73,86,NA,83,89,81
1988,162,NA,54,54,89,77,71,87,78,NA,88,82,84,75,94,NA,87,91,100,85,104,65,85,83,83,68,76,NA,70,87,81
1987,162,NA,69,67,78,76,77,84,61,NA,98,76,83,75,73,NA,91,85,92,89,81,80,80,65,90,78,95,NA,75,96,91
1986,162,NA,72,73,95,70,72,86,84,NA,87,96,76,92,73,NA,77,71,108,90,76,86,64,74,83,67,79,NA,87,86,78
1985,162,NA,66,83,81,77,85,89,60,NA,84,83,91,90,95,NA,71,77,98,97,77,75,57,83,62,74,101,NA,62,99,84
1984,162,NA,80,85,86,96,74,70,75,NA,104,80,84,81,79,NA,67,81,90,87,77,81,75,92,66,74,84,NA,69,89,78
1983,162,NA,88,98,78,71,99,74,70,NA,92,85,79,70,91,NA,87,70,68,91,74,90,84,81,79,60,79,NA,77,89,82
1982,162,NA,89,94,89,73,87,61,78,NA,83,77,90,93,88,NA,95,60,65,79,68,89,84,81,87,76,92,NA,64,78,86
1981,111,NA,50,59,59,38,54,66,52,NA,60,61,50,51,63,NA,62,41,41,59,64,59,46,41,56,44,59,NA,57,37,60
1980,163,NA,81,100,83,64,70,89,79,NA,84,93,97,65,92,NA,86,77,67,103,83,91,83,73,75,59,74,NA,76,67,90
1979,162,NA,66,102,91,80,73,90,81,NA,85,89,85,88,79,NA,95,82,63,89,54,84,98,68,71,67,86,NA,83,53,95
1978,163,NA,69,90,99,79,71,92,69,NA,86,74,92,87,95,NA,93,73,66,100,69,90,88,84,89,56,69,NA,87,59,76
1977,162,NA,61,97,97,81,90,88,71,NA,74,81,102,74,98,NA,67,84,64,100,63,101,96,69,75,64,83,NA,94,54,75
1976,162,NA,70,88,83,75,64,102,81,NA,74,80,90,76,92,NA,66,85,86,97,87,101,92,73,74,NA,72,NA,76,NA,55
1975,162,NA,67,90,95,75,75,108,79,NA,57,64,91,72,88,NA,68,76,82,83,98,86,92,71,80,NA,82,NA,79,NA,75
1974,162,NA,88,91,84,66,80,98,77,NA,72,81,77,68,102,NA,76,82,71,89,90,80,88,60,72,NA,86,NA,84,NA,79
1973,162,NA,76,97,89,77,77,99,71,NA,85,82,88,79,95,NA,74,81,82,80,94,71,80,60,88,NA,81,NA,57,NA,79
1972,156,NA,70,80,85,85,87,95,72,NA,86,84,76,75,85,NA,65,77,83,79,93,59,96,58,69,NA,75,NA,54,NA,70
1971,162,NA,82,101,85,83,79,79,60,NA,91,79,85,76,89,NA,69,74,83,82,101,67,97,61,90,NA,90,NA,63,NA,71
1970,162,NA,76,108,87,84,56,102,76,NA,79,79,65,86,87,NA,65,98,83,93,89,73,89,63,86,NA,76,NA,70,NA,73
1969,162,NA,93,109,87,92,68,89,62,NA,90,81,69,71,85,NA,64,97,100,80,88,63,88,52,90,NA,87,NA,86,NA,52
1968,162,NA,81,91,86,84,67,83,86,NA,103,72,NA,67,76,NA,NA,79,73,83,82,76,80,NA,88,NA,97,NA,65,NA,NA
1967,162,NA,77,76,92,87,89,87,75,NA,91,69,NA,84,73,NA,NA,91,61,72,62,82,81,NA,91,NA,101,NA,76,NA,NA
1966,162,NA,85,97,72,59,83,76,81,NA,88,72,NA,80,95,NA,NA,89,66,70,74,87,92,NA,93,NA,83,NA,71,NA,NA
1965,162,NA,86,94,62,72,95,89,87,NA,89,65,NA,75,97,NA,NA,102,50,77,59,85,90,NA,95,NA,80,NA,70,NA,NA
1964,162,NA,88,97,72,76,98,92,79,NA,85,66,NA,82,80,NA,NA,79,53,99,57,92,80,NA,90,NA,93,NA,62,NA,NA
1963,162,NA,84,86,76,82,94,86,79,NA,79,66,NA,70,99,NA,NA,91,51,104,73,87,74,NA,88,NA,93,NA,56,NA,NA
1962,165,NA,86,77,76,59,85,98,80,NA,85,64,NA,86,102,NA,NA,91,40,96,72,81,93,NA,103,NA,84,NA,60,NA,NA
1961,162,NA,83,95,76,64,86,93,78,NA,101,NA,NA,70,89,NA,NA,70,NA,109,61,47,75,NA,85,NA,80,NA,61,NA,NA
1960,154,NA,88,89,65,60,87,67,76,NA,71,NA,NA,NA,82,NA,NA,73,NA,97,58,59,95,NA,79,NA,86,NA,NA,NA,NA
1959,156,NA,86,74,75,74,94,74,89,NA,76,NA,NA,NA,88,NA,NA,63,NA,79,66,64,78,NA,83,NA,71,NA,NA,NA,NA
1958,154,NA,92,74,79,72,82,76,77,NA,77,NA,NA,NA,71,NA,NA,61,NA,92,73,69,84,NA,80,NA,72,NA,NA,NA,NA
1957,154,NA,95,76,82,62,90,80,76,NA,78,NA,NA,NA,84,NA,NA,55,NA,98,59,77,62,NA,69,NA,87,NA,NA,NA,NA
1956,154,NA,92,69,84,60,85,91,88,NA,82,NA,NA,NA,93,NA,NA,59,NA,97,52,71,66,NA,67,NA,76,NA,NA,NA,NA
1955,154,NA,85,57,84,72,91,75,93,NA,79,NA,NA,NA,98,NA,NA,53,NA,96,63,77,60,NA,80,NA,68,NA,NA,NA,NA
1954,154,NA,89,54,69,64,94,74,111,NA,68,NA,NA,NA,92,NA,NA,66,NA,103,51,75,53,NA,97,NA,72,NA,NA,NA,NA
1953,154,NA,92,54,84,65,89,68,92,NA,60,NA,NA,NA,105,NA,NA,76,NA,99,59,83,50,NA,70,NA,83,NA,NA,NA,NA
1952,154,NA,64,64,76,77,81,69,93,NA,50,NA,NA,NA,96,NA,NA,78,NA,95,79,87,42,NA,92,NA,88,NA,NA,NA,NA
1951,157,NA,76,52,87,62,81,68,93,NA,73,NA,NA,NA,97,NA,NA,62,NA,98,70,73,64,NA,98,NA,81,NA,NA,NA,NA
1950,154,NA,83,58,94,64,60,66,92,NA,95,NA,NA,NA,89,NA,NA,67,NA,98,52,91,57,NA,86,NA,78,NA,NA,NA,NA
1949,154,NA,75,53,96,61,63,62,89,NA,87,NA,NA,NA,97,NA,NA,50,NA,97,81,81,71,NA,73,NA,96,NA,NA,NA,NA
1948,155,NA,91,59,96,64,51,64,97,NA,78,NA,NA,NA,84,NA,NA,56,NA,94,84,66,83,NA,78,NA,85,NA,NA,NA,NA
1947,154,NA,86,59,83,69,70,73,80,NA,85,NA,NA,NA,94,NA,NA,64,NA,97,78,62,62,NA,81,NA,89,NA,NA,NA,NA
1946,156,NA,81,66,104,82,74,67,68,NA,92,NA,NA,NA,96,NA,NA,76,NA,87,49,69,63,NA,61,NA,98,NA,NA,NA,NA
1945,154,NA,67,81,71,98,71,61,73,NA,88,NA,NA,NA,87,NA,NA,87,NA,81,52,46,82,NA,78,NA,95,NA,NA,NA,NA
1944,154,NA,65,89,77,75,71,89,72,NA,88,NA,NA,NA,63,NA,NA,64,NA,83,72,61,90,NA,67,NA,105,NA,NA,NA,NA
1943,154,NA,68,72,68,74,82,87,82,NA,78,NA,NA,NA,81,NA,NA,84,NA,98,49,64,80,NA,55,NA,105,NA,NA,NA,NA
1942,154,NA,59,82,93,68,66,76,75,NA,73,NA,NA,NA,104,NA,NA,62,NA,103,55,42,66,NA,85,NA,106,NA,NA,NA,NA
1941,154,NA,62,70,84,70,77,88,75,NA,75,NA,NA,NA,100,NA,NA,70,NA,101,64,43,81,NA,74,NA,97,NA,NA,NA,NA
1940,154,NA,65,67,82,75,82,100,89,NA,90,NA,NA,NA,88,NA,NA,64,NA,88,54,50,78,NA,72,NA,84,NA,NA,NA,NA
1939,154,NA,63,43,89,84,85,97,87,NA,81,NA,NA,NA,84,NA,NA,65,NA,106,55,45,68,NA,77,NA,92,NA,NA,NA,NA
1938,154,NA,77,55,88,89,65,82,86,NA,84,NA,NA,NA,69,NA,NA,75,NA,99,53,45,86,NA,83,NA,71,NA,NA,NA,NA
1937,154,NA,79,46,80,93,86,56,83,NA,89,NA,NA,NA,62,NA,NA,73,NA,102,54,61,86,NA,95,NA,81,NA,NA,NA,NA
1936,154,NA,71,57,74,87,81,74,80,NA,83,NA,NA,NA,67,NA,NA,82,NA,102,53,54,84,NA,92,NA,87,NA,NA,NA,NA
1935,154,NA,38,65,78,100,74,68,82,NA,93,NA,NA,NA,70,NA,NA,67,NA,89,58,64,86,NA,91,NA,96,NA,NA,NA,NA
1934,154,NA,78,67,76,86,53,52,85,NA,101,NA,NA,NA,71,NA,NA,66,NA,94,68,56,74,NA,93,NA,95,NA,NA,NA,NA
1933,154,NA,83,55,63,86,67,58,75,NA,75,NA,NA,NA,65,NA,NA,99,NA,91,79,60,87,NA,91,NA,82,NA,NA,NA,NA
1932,154,NA,77,63,43,90,49,60,87,NA,76,NA,NA,NA,81,NA,NA,93,NA,107,94,78,86,NA,72,NA,72,NA,NA,NA,NA
1931,154,NA,64,63,62,84,56,58,78,NA,61,NA,NA,NA,79,NA,NA,92,NA,94,107,66,75,NA,87,NA,101,NA,NA,NA,NA
1930,154,NA,70,64,52,90,62,59,81,NA,75,NA,NA,NA,86,NA,NA,94,NA,86,102,52,80,NA,87,NA,92,NA,NA,NA,NA
1929,154,NA,56,79,58,98,59,66,81,NA,70,NA,NA,NA,70,NA,NA,71,NA,88,104,71,88,NA,84,NA,78,NA,NA,NA,NA
1928,154,NA,50,82,57,91,72,78,62,NA,68,NA,NA,NA,77,NA,NA,75,NA,101,98,43,85,NA,93,NA,95,NA,NA,NA,NA
1927,154,NA,60,59,51,85,70,75,66,NA,82,NA,NA,NA,65,NA,NA,85,NA,110,91,51,94,NA,92,NA,92,NA,NA,NA,NA
1926,154,NA,66,62,46,82,81,87,88,NA,79,NA,NA,NA,71,NA,NA,81,NA,91,83,58,84,NA,74,NA,89,NA,NA,NA,NA
1925,154,NA,70,82,47,68,79,80,70,NA,81,NA,NA,NA,68,NA,NA,96,NA,69,88,68,95,NA,86,NA,77,NA,NA,NA,NA
1924,154,NA,53,74,67,81,66,83,67,NA,86,NA,NA,NA,92,NA,NA,92,NA,89,71,55,90,NA,93,NA,65,NA,NA,NA,NA
1923,154,NA,54,74,61,83,69,91,82,NA,83,NA,NA,NA,76,NA,NA,75,NA,98,69,50,87,NA,95,NA,79,NA,NA,NA,NA
1922,154,NA,53,93,61,80,77,86,78,NA,79,NA,NA,NA,76,NA,NA,69,NA,94,65,57,85,NA,93,NA,85,NA,NA,NA,NA
1921,154,NA,79,81,75,64,62,70,94,NA,71,NA,NA,NA,77,NA,NA,80,NA,98,53,51,90,NA,94,NA,87,NA,NA,NA,NA
1920,154,NA,62,76,72,75,96,82,98,NA,61,NA,NA,NA,93,NA,NA,68,NA,95,48,62,79,NA,86,NA,75,NA,NA,NA,NA
1919,140,NA,57,67,66,75,88,96,84,NA,80,NA,NA,NA,69,NA,NA,56,NA,80,36,47,71,NA,87,NA,54,NA,NA,NA,NA
1918,129,NA,53,58,75,84,57,68,73,NA,55,NA,NA,NA,57,NA,NA,72,NA,60,52,55,65,NA,71,NA,51,NA,NA,NA,NA
1917,154,NA,72,57,90,74,100,78,88,NA,78,NA,NA,NA,70,NA,NA,74,NA,71,55,87,51,NA,98,NA,82,NA,NA,NA,NA
