This is a dataset of Pokemon statistics.
It includes generations 1 - 8!

abilities,attack,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",49,70,318,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",62,70,405,45,Seed Pokémon,63,1059860,1,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0
"['Overgrow', 'Chlorophyll']",100,70,625,45,Seed Pokémon,123,1059860,2,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0
"['Blaze', 'Solar Power']",52,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,fire,NA,8.5,1,0
"['Blaze', 'Solar Power']",64,70,405,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,80,fire,NA,19,1,0
"['Blaze', 'Solar Power']",104,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",48,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,water,NA,9,1,0
"['Torrent', 'Rain Dish']",63,70,405,45,Turtle Pokémon,80,1059860,1,59,Kameilカメール,Wartortle,88.1,8,65,80,58,water,NA,22.5,1,0
"['Torrent', 'Rain Dish']",103,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,78,water,NA,85.5,1,0
"['Shield Dust', 'Run Away']",30,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,bug,NA,2.9,1,0
['Shed Skin'],20,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,Metapod,50,11,25,25,30,bug,NA,9.9,1,0
"['Compoundeyes', 'Tinted Lens']",45,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50,12,90,80,70,bug,flying,32,1,0
"['Shield Dust', 'Run Away']",35,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],25,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50,14,25,25,35,bug,poison,10,1,0
"['Swarm', 'Sniper']",150,70,495,45,Poison Bee Pokémon,40,1000000,1,65,Spearスピアー,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,70,253,255,Mouse Pokémon,35,1000000,NA,30,Korattaコラッタ,Rattata,50,19,25,35,72,normal,dark,NA,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,70,413,127,Mouse Pokémon,70,1000000,NA,75,Rattaラッタ,Raticate,50,20,40,80,77,normal,dark,NA,1,0
"['Keen Eye', 'Sniper']",60,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,normal,flying,2,1,0
"['Keen Eye', 'Sniper']",90,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50,22,61,61,100,normal,flying,38,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",60,70,288,255,Snake Pokémon,44,1000000,2,35,Arboアーボ,Ekans,50,23,40,54,55,poison,NA,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",95,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,50,24,65,79,80,poison,NA,65,1,0
"['Static', 'Lightningrod']",55,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50,25,50,50,90,electric,NA,6,1,0
"['Static', 'Lightningrod', 'Surge Surfer']",85,70,485,75,Mouse Pokémon,50,1000000,NA,60,Raichuライチュウ,Raichu,50,26,95,85,110,electric,electric,NA,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,70,300,255,Mouse Pokémon,90,1000000,NA,50,Sandサンド,Sandshrew,50,27,10,35,40,ground,ice,NA,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,70,450,90,Mouse Pokémon,120,1000000,NA,75,Sandpanサンドパン,Sandslash,50,28,25,65,65,ground,ice,NA,1,0
"['Poison Point', 'Rivalry', 'Hustle']",47,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0,29,40,40,41,poison,NA,7,1,0
"['Poison Point', 'Rivalry', 'Hustle']",62,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0,30,55,55,56,poison,NA,20,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",92,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0,31,75,85,76,poison,ground,60,1,0
"['Poison Point', 'Rivalry', 'Hustle']",57,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100,32,40,40,50,poison,NA,9,1,0
"['Poison Point', 'Rivalry', 'Hustle']",72,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100,33,55,55,65,poison,NA,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",102,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100,34,85,75,85,poison,ground,62,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,NA,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",70,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,NA,40,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,70,299,190,Fox Pokémon,40,1000000,NA,38,Rokonロコン,Vulpix,24.6,37,50,65,65,fire,ice,NA,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,70,505,75,Fox Pokémon,75,1000000,NA,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,fire,ice,NA,1,0
